region_or_nation,job_family,occupation,medium_skilled,include_fe,include_he,demand_entry,demand_ticker,lq,lq_label,demand_entry_sl,demand_entry_fe,demand_entry_he,advertised_avg_salary_entry_hs,advertised_avg_salary_entry_degree,advertised_entry_salary_degree_premium,advertised_entry_salary_degree_premium_percentage,supply_fe,supply_he,fe_ds_ratio,he_ds_ratio,fe_ds_ratio_log,he_ds_ratio_log
EAST MIDLANDS,Administrative And Secretarial Occupations,Administrative Occupations: Finance,1,1,0,7693,High,1.03009901118884,Average,3885.78,959.72,2507.75,23652.9338,35508.6489888889,11855.7151888889,0.501236560721651,1988,,0.482897384305835,,-0.727951102754637,
EAST MIDLANDS,"Caring, Leisure And Other Service Occupations",Childcare and Related Personal Services,1,1,1,7527,High,0.886255120576207,Average,2968.29,3075.5,1152.46,21462.318,23068.2189012668,1605.9009012668,0.074824205906687,2436,393,1.26272577996716,2.93246819338422,0.233272701795748,1.07584445524088
EAST MIDLANDS,Professional Occupations,Health Professionals,0,0,1,7307,High,0.955663144276343,Average,81.65,73.08,4974.13,41023.5289,46441.4592260586,5417.93032605863,0.13206885100659,4,1358,18.25,3.62518409425626,2.9041650800285,1.28790507163956
EAST MIDLANDS,Associate Professional And Technical Occupations,"Business, Finance and Related Associate Professionals",1,1,1,7241,High,0.807946068994047,Low,1322.95,1310.22,4002.27,33766.2658,46831.2324368724,13064.9666368724,0.386923644866659,973,838,1.34635149023638,4.7759785202864,0.29739833400919,1.56359887865272
EAST MIDLANDS,Sales And Customer Service Occupations,Sales Related Occupations,0,1,0,6946,High,0.929644329385014,Average,2036.48,808.54,3891.85,23928.9634,35090.0375471503,11161.0741471503,0.46642530896889,330,9,2.45454545454545,432.427777777778,0.897941593205957,6.06941532463087
EAST MIDLANDS,Skilled Trades Occupations,Food Preparation and Hospitality Trades,1,1,0,6698,High,0.80295257463407,Low,2493.93,4036.43,143.57,,,,,1983,11,2.03580433686334,13.0518181818182,0.710890992333146,2.56892744834123
EAST MIDLANDS,Administrative And Secretarial Occupations,Secretarial and Related Occupations,1,1,0,6234,High,0.868474314084198,Average,3739.81,1411.14,913.63,22732.7052,26026.8058737075,3294.10067370753,0.144905792985321,1330,,1.0609022556391,,0.0591197306370166,
EAST MIDLANDS,Elementary Occupations,Other Elementary Services Occupations,0,1,0,6202,High,0.761249705459496,Low,2951.44,2536.92,573.21,21254.0125,22038.4099655172,784.397465517239,0.0369058532132339,1820,,1.39395604395604,,0.332145779528438,
EAST MIDLANDS,Elementary Occupations,Elementary Storage Occupations,0,0,0,6185,High,1.63185694152314,Very High,3248.1,1707.68,1032.78,18500.247,29341.5858670103,10841.3388670103,0.586010493103704,148,,11.5405405405405,,2.4458661005844,
EAST MIDLANDS,Associate Professional And Technical Occupations,Information Technology Technicians,1,1,0,5625,Medium,0.778651304001923,Low,1810.79,1165.44,2502.99,30464.4601,38482.9697183184,8018.50961831842,0.263208656644416,1586,159,0.735182849936948,15.7421383647799,-0.307636035284356,2.75634108921154
EAST MIDLANDS,Associate Professional And Technical Occupations,"Science, Engineering and Production Technicians",1,1,1,5425,Medium,1.2075275618961,High,1225.46,2559.58,1409.95,28181.3123,33267.8965158455,5086.58421584554,0.180494937982201,1292,419,1.98065015479876,3.28639618138425,0.683425151817241,1.18979157880652
EAST MIDLANDS,Elementary Occupations,Elementary Cleaning Occupations,0,1,0,5173,Medium,0.873426777791479,Average,3040.65,1129.05,924.48,19313.3307,23851.7298387097,4538.39913870968,0.234987905980903,251,,4.49800796812749,,1.50363462501788,
EAST MIDLANDS,Professional Occupations,"Business, Research and Administrative Professionals",0,0,1,4717,Medium,0.686164733912569,Low,162.15,74.81,3761.71,38392.6375,49310.5429158434,10917.9054158434,0.284374977255559,317,591,0.236593059936909,6.36548223350254,-1.44141366034097,1.85088999245488
EAST MIDLANDS,Administrative And Secretarial Occupations,Administrative Occupations: Records,1,1,0,4485,Medium,0.965976841813702,Average,1810.52,833.12,1657.18,23147.3893,34411.6207417349,11264.2314417349,0.486630751129021,990,,0.842424242424242,,-0.171471540769889,
EAST MIDLANDS,Associate Professional And Technical Occupations,Welfare and Housing Associate Professionals,1,1,1,4225,Medium,0.982966924104993,Average,697.8,1541.81,1626.92,24231.2924,26899.4677378345,2668.17533783455,0.110112795214941,554,395,2.78158844765343,4.11878481012658,1.02302214857283,1.41555817085702
EAST MIDLANDS,"Process, Plant And Machine Operatives",Mobile Machine Drivers and Operatives,0,1,0,4045,Medium,1.5811409799459,Very High,2383.08,1091.23,529.64,17710.4914,25733.4463018182,8022.95490181818,0.453005776102756,156,,6.98717948717949,,1.94407696797365,
EAST MIDLANDS,Skilled Trades Occupations,Vehicle Trades,1,1,0,3716,Medium,1.40813416944227,High,752.55,2736.88,180.68,,,,,1729,,1.58357432041643,,0.459684520165106,
EAST MIDLANDS,"Process, Plant And Machine Operatives",Process Operatives,0,1,0,3623,Medium,1.38256224536701,High,1361.63,911.4,1096.49,28022.1845,37978.6517106464,9956.46721064639,0.355306603974661,207,,4.40579710144928,,1.48292119680896,
EAST MIDLANDS,Skilled Trades Occupations,"Metal Machining, Fitting and Instrument Making Trades",1,1,0,3622,Medium,1.50192830620382,Very High,853.36,2243.99,453.43,26814.9721,31284.7763495868,4469.80424958678,0.16669061720138,591,,3.79526226734349,,1.33375351711411,
EAST MIDLANDS,Professional Occupations,Welfare Professionals,0,1,1,3589,Medium,0.986011930038778,Average,139.53,269.36,3025.45,33280.8859,45931.3532592593,12650.4673592593,0.380112097895184,179,317,1.50279329608939,9.54400630914827,0.407325573761087,2.25591334585452
EAST MIDLANDS,"Process, Plant And Machine Operatives",Assemblers and Routine Operatives,0,1,0,3468,Medium,1.52100870871515,Very High,1193.6,932.44,1225.73,27323.9928,38583.0658028571,11259.0730028571,0.412058116296134,253,,3.68379446640316,,1.30394332595807,
EAST MIDLANDS,Professional Occupations,Engineering Professionals,0,1,1,3251,Medium,1.2212845630079,High,242.15,1020.24,1820.26,40269.5775,45218.9141947059,4949.33669470587,0.122905106086744,695,1275,1.4705035971223,1.42823529411765,0.385604925198856,0.356439622135083
EAST MIDLANDS,Elementary Occupations,Elementary Process Plant Occupations,0,0,0,3118,Medium,1.54597652164357,Very High,1396.65,972.34,654.58,19920.8076,30327.2291038462,10406.4215038462,0.522389539259751,46,,21.1304347826087,,3.05071440797134,
EAST MIDLANDS,Skilled Trades Occupations,Construction and Building Trades,1,1,0,2908,Medium,0.904655084568848,Average,631.47,1882.16,359.01,,,,,3896,,0.48305954825462,,-0.727615344617101,
EAST MIDLANDS,Associate Professional And Technical Occupations,Health Associate Professionals,1,1,1,2576,Medium,0.953126327473018,Average,257.69,1133.88,982.51,26342.3,26729.3701051282,387.070105128205,0.0146938613988985,152,170,7.46052631578947,5.7794705882353,2.00962596344142,1.75431208475841
EAST MIDLANDS,"Process, Plant And Machine Operatives",Plant and Machine Operatives,0,1,0,2497,Medium,1.46615663759038,High,670.98,989,711.57,28845.4312,33328.2896066421,4482.85840664207,0.155409651378069,126,,7.84920634920635,,2.06041242467123,
EAST MIDLANDS,"Managers, Directors And Senior Officials",Managers and Directors in Retail and Wholesale,0,0,0,2343,Medium,0.95867073242198,Average,797.16,442.61,970.31,27772.7027,32832.6787885986,5059.97608859857,0.182192426255964,0,,Inf,,Inf,
EAST MIDLANDS,Associate Professional And Technical Occupations,"Artistic, Literary and Media Occupations",1,1,1,2334,Medium,0.772393519119229,Low,558.46,327.03,1130.71,28212.7883,35423.4842514706,7210.69595147058,0.255582534941099,1469,610,0.222600408441116,1.85362295081967,-1.50237700527663,0.617142075813623
EAST MIDLANDS,Skilled Trades Occupations,Electrical and Electronic Trades,1,1,0,2301,Medium,1.09973021988986,Average,412.94,1377.63,471.44,28136.3846,36409.666876367,8273.28227636701,0.294042123534486,1377,3,1.00072621641249,157.146666666667,0.000725952844948045,5.05717955186155
EAST MIDLANDS,Associate Professional And Technical Occupations,Legal Associate Professionals,1,1,1,2128,Medium,0.95986301685751,Average,453.36,134.51,1236.94,29406.4,38939.5288852174,9533.12888521739,0.32418551353506,134,356,1.00746268656716,3.4747191011236,0.00743497848751402,1.24551364154046
EAST MIDLANDS,Skilled Trades Occupations,"Metal Forming, Welding and Related Trades",1,1,0,2069,Medium,1.9345048303689,Very High,706.08,1002.07,330.79,26667.69,30897.3073802198,4229.61738021978,0.158604565308048,242,,4.14462809917355,,1.42181306180525,
EAST MIDLANDS,Professional Occupations,Legal Professionals,0,0,0,2059,Medium,0.81091662561965,Low,79.66,39.01,1041.88,40898.6878,53081.1002352381,12182.4124352381,0.297868051288386,51,82,0.764705882352941,12.7058536585366,-0.26826398659468,2.54206280526948
EAST MIDLANDS,Associate Professional And Technical Occupations,Design Occupations,1,1,1,2046,Medium,1.06745483188998,Average,351.87,337.32,1273.71,24595.9967,34445.9132417819,9849.91654178187,0.400468281969719,958,887,0.351774530271399,1.43630214205186,-1.0447648476185,0.362071853822529
EAST MIDLANDS,Elementary Occupations,Elementary Security Occupations,0,1,0,1876,Medium,0.834552383149967,Average,866.03,463.11,449.85,21511.4319,31901.3219276316,10389.8900276316,0.482993883249194,221,,2.09502262443439,,0.739564352568482,
EAST MIDLANDS,Elementary Occupations,Elementary Administration Occupations,0,1,0,1779,Medium,0.911962822626263,Average,891.81,427.84,330.89,21024.4826,28339.5332387097,7315.05063870968,0.347930114518475,119,,3.59663865546218,,1.27999970247027,
EAST MIDLANDS,Professional Occupations,Therapy Professionals,0,0,1,1772,Medium,0.845852966138224,Average,107.76,62.84,1493.08,31680.9503,35390.4414721311,3709.49117213115,0.117089012072064,85,211,0.729411764705882,7.07582938388626,-0.315516871445225,1.95668466406312
EAST MIDLANDS,"Managers, Directors And Senior Officials",Managers and Proprietors in Other Services,0,1,0,1622,Medium,0.870336467221734,Average,497.86,410.61,659.94,38660.652,49814.1524638298,11153.5004638298,0.28849747448206,357,,1.1484593837535,,0.138421377918713,
EAST MIDLANDS,Professional Occupations,"Architects, Town Planners and Surveyors",0,1,1,1622,Medium,0.981211464855939,Average,146.43,386.38,1002.08,33965.5158,43155.457648326,9189.94184832601,0.270566827320962,321,264,1.20560747663551,3.79575757575758,0.186983569899763,1.33388401563079
EAST MIDLANDS,Elementary Occupations,Elementary Construction Occupations,0,1,0,1546,Medium,0.927349425679729,Average,462.21,547.07,499.68,29607.1038,37637.5037586207,8030.39995862068,0.271232202003516,323,,1.69349845201238,,0.526796479199322,
EAST MIDLANDS,Administrative And Secretarial Occupations,Administrative Occupations: Office Managers and Supervisors,1,1,0,1537,Medium,0.978168949331328,Average,379.58,286.09,804.76,28281.8869,41881.4379621107,13599.5510621107,0.480857274841543,295,,0.969491525423729,,-0.0309835455199671,
EAST MIDLANDS,"Managers, Directors And Senior Officials",Managers and Proprietors in Health and Care Services,0,0,0,1469,Medium,1.18900553825476,Average,51.13,829.11,517.15,,,,,77,,10.7662337662338,,2.37641473328161,
EAST MIDLANDS,"Caring, Leisure And Other Service Occupations",Hairdressers and Related Services,0,1,0,1374,Medium,0.764287614743431,Low,349.55,1008,12.45,,,,,2449,,0.411596570028583,,-0.887711608320854,
EAST MIDLANDS,Associate Professional And Technical Occupations,Sports and Fitness Occupations,1,1,1,1367,Medium,1.09754465134668,Average,430.35,676.97,224.68,22957.928,40358.799715493,17400.871715493,0.757946087969827,1584,161,0.42739898989899,1.39552795031056,-0.850037299462096,0.333272802679769
EAST MIDLANDS,"Managers, Directors And Senior Officials",Managers and Proprietors in Hospitality and Leisure Services,0,1,0,1323,Medium,0.734563794133331,Low,510.79,490.35,295.2,22924.7589,29829.3928992064,6904.63399920635,0.301186766208754,779,,0.627727856225931,,-0.465648556395876,
EAST MIDLANDS,"Process, Plant And Machine Operatives",Construction Operatives,0,1,0,1165,Medium,0.782040830277155,Low,400.89,648.15,94.5,,,,,347,,1.86743515850144,,0.624565916405415,
EAST MIDLANDS,"Managers, Directors And Senior Officials",Functional Managers and Directors,0,0,0,1135,Low,0.743199268920564,Low,99.37,131.49,793.32,34628.8564,45424.6009774952,10795.7445774952,0.311755734951017,0,,Inf,,Inf,
EAST MIDLANDS,"Caring, Leisure And Other Service Occupations",Housekeeping and Related Services,0,0,0,1094,Low,0.861404029187396,Average,458.45,448.06,155.41,19464.4944,20411.2642,946.769799999998,0.0486408627187356,43,,10.4186046511628,,2.34359311672142,
EAST MIDLANDS,"Caring, Leisure And Other Service Occupations",Leisure and Travel Services,0,1,0,965,Low,0.586323503418164,Very Low,348.06,301.88,299.93,21567.3127,28675.0314342105,7107.71873421053,0.329559775623345,699,,0.430615164520744,,-0.842540477484934,
EAST MIDLANDS,Professional Occupations,Quality and Regulatory Professionals,0,1,0,963,Low,0.952062577004165,Average,102.01,241.18,585.67,33949.683,43604.1576159892,9654.47461598916,0.284375987133345,103,56,2.33980582524272,10.4642857142857,0.85006794526102,2.34796809884186
EAST MIDLANDS,"Managers, Directors And Senior Officials",Production Managers and Directors,0,0,0,918,Low,1.25636493454954,High,222.28,297.56,379.85,36133.8301,42004.95075408,5871.12065408,0.162482655113829,0,,Inf,,Inf,
EAST MIDLANDS,Skilled Trades Occupations,Other Skilled Trades,1,1,0,896,Low,0.953075480509696,Average,385.25,223.34,245.08,24983.1666,39659.0897123595,14675.9231123595,0.587432463919908,438,,0.511415525114155,,-0.670572858521407,
EAST MIDLANDS,Professional Occupations,Natural and Social Science Professionals,0,0,1,862,Low,0.90047462682966,Average,106.87,52.2,467.18,34691.706,36853.7692319347,2162.06323193474,0.0623221940118694,501,332,0.105788423153693,1.4066265060241,-2.24631418753274,0.341194288752411
EAST MIDLANDS,Sales And Customer Service Occupations,Sales Supervisors,0,1,1,848,Low,1.14241578922789,Average,193.87,366.03,270.65,26459.3833,26827.9856300429,368.602330042919,0.0139308738175662,224,57,1.63392857142857,4.75438596491228,0.490987281546326,1.55906755304515
EAST MIDLANDS,Associate Professional And Technical Occupations,Draughtspersons and Related Architectural Technicians,1,1,1,803,Low,1.35007680268867,High,79.64,374.15,305.83,28186.5333,37137.8106479592,8951.27734795919,0.317572837095195,252,339,1.48412698412698,0.84070796460177,0.394826709903106,-0.1735109271118
EAST MIDLANDS,Administrative And Secretarial Occupations,Administrative Occupations: Government and Related Organisations,0,1,0,682,Low,0.767964338383585,Low,245.83,165.62,213.8,24803.506,39839.9644211679,15036.4584211679,0.606223104958141,1109,,0.1487826871055,,-1.90526851344979,
EAST MIDLANDS,Skilled Trades Occupations,Agricultural and Related Trades,1,1,0,665,Low,0.920098118185327,Average,263.39,287.59,92.67,21480.9826,39472.1089146667,17991.1263146667,0.837537399926327,539,,0.532467532467532,,-0.630233355149377,
EAST MIDLANDS,Sales And Customer Service Occupations,Customer Service Managers and Supervisors,0,1,0,601,Low,0.955664553655068,Average,112.97,120.98,347.14,28491.673,40919.7001840708,12428.0271840708,0.436198575775834,132,,0.916666666666667,,-0.0870113769896294,
EAST MIDLANDS,Skilled Trades Occupations,Building Finishing Trades,1,1,0,595,Low,0.925747390806354,Average,144.05,411.63,34.12,28292.4213,28687.6435294118,395.22222941176,0.0139691907320693,958,,0.430062630480167,,-0.843824428621334,
EAST MIDLANDS,Elementary Occupations,Elementary Sales Occupations,0,0,0,592,Low,1.0500544798966,Average,354.24,129.61,78.36,18853.7343,20621.68,1767.9457,0.0937716460765017,13,,9.92307692307692,,2.29486304690014,
EAST MIDLANDS,Professional Occupations,Media Professionals,0,0,1,557,Low,0.508989604710901,Very Low,56.88,35.7,423.34,27670.1303,36499.1688808538,8829.03858085382,0.319081930049813,43,204,0.837209302325581,2.07352941176471,-0.177681177237453,0.729252185202064
EAST MIDLANDS,"Caring, Leisure And Other Service Occupations",Animal Care and Control Services,1,1,0,513,Low,1.00163914953271,Average,255.43,160.71,73.93,23131.0033,27784.3367,4653.3334,0.201173003161519,913,92,0.176341730558598,0.75,-1.73533151561051,-0.287682072451781
EAST MIDLANDS,"Managers, Directors And Senior Officials",Health and Social Services Managers and Directors,0,0,0,451,Low,0.854015575313375,Average,66.73,97.79,241,,,,,0,,Inf,,Inf,
EAST MIDLANDS,"Managers, Directors And Senior Officials",Managers and Directors in Transport and Logistics,0,0,0,431,Low,1.37715988194474,High,153.19,67.56,198.26,30377.4833,40065.5445457627,9688.06124576271,0.31892244495984,0,,Inf,,Inf,
EAST MIDLANDS,Skilled Trades Occupations,Printing Trades,1,1,0,404,Low,1.29987089800437,High,126.65,114.31,136.53,,,,,102,,1.11764705882353,,0.111225635110225,
EAST MIDLANDS,"Caring, Leisure And Other Service Occupations",Cleaning and Housekeeping Managers and Supervisors,0,1,0,403,Low,0.903194827793571,Average,135.3,168.47,93.11,,,,,78,,2.15384615384615,,0.767255152713666,
EAST MIDLANDS,Associate Professional And Technical Occupations,Protective Service Occupations,1,1,1,383,Low,0.600210117225856,Very Low,109.74,103.05,129.18,,,,,991,23,0.10393541876892,5.61652173913043,-2.26398554610036,1.72571256467518
EAST MIDLANDS,"Process, Plant And Machine Operatives",Other Drivers and Transport Operatives,0,0,0,363,Low,0.987845145363487,Average,142.07,77.95,120.56,27484.1759,27780.5109652174,296.335065217394,0.0107820247656541,116,,0.672413793103448,,-0.396881364416773,
EAST MIDLANDS,Skilled Trades Occupations,Textiles and Garments Trades,1,1,0,350,Low,1.33335024137497,High,127.34,112.43,95.5,29717.2634,32401.345,2684.0816,0.0903206181495165,46,19,2.45652173913043,5.02631578947368,0.898746422223244,1.61468726832024
EAST MIDLANDS,Elementary Occupations,Elementary Agricultural Occupations,0,0,0,312,Low,1.00995179689951,Average,129,97.98,63.43,24588.4802,26224.859375,1636.379175,0.0665506432967743,76,,1.27631578947368,,0.243977638217049,
EAST MIDLANDS,Skilled Trades Occupations,"Skilled Metal, Electrical and Electronic Trades Supervisors",1,1,0,308,Low,1.26320545280447,High,73.33,162.52,62.63,32034.2766,39195.5793434783,7161.30274347826,0.223551255203879,85,,1.91764705882353,,0.651098944316446,
EAST MIDLANDS,Skilled Trades Occupations,Construction and Building Trades Supervisors,1,0,0,176,Low,1.25191526487464,High,70.46,87.72,16.43,29963.9806,36116.4423,6152.4617,0.205328583746313,158,,0.556962025316456,,-0.58525821854876,
EAST MIDLANDS,"Managers, Directors And Senior Officials",Senior Officers in Protective Services,0,0,0,114,Low,1.09657027558644,Average,24.53,23.13,56.26,33709.1105,41082.6533,7373.5428,0.218740355074038,0,,Inf,,Inf,
EAST MIDLANDS,Associate Professional And Technical Occupations,Transport Associate Professionals,1,0,0,102,Low,0.693532604120895,Low,37.78,20.26,30.31,,,,,102,1,0.205882352941176,30.31,-1.58045037556085,3.41147769106971
EAST MIDLANDS,Professional Occupations,Conservation and Environment Professionals,0,0,0,100,Low,0.974062646237212,Average,6.86,6.41,74.85,30942.15,33293.3118357143,2351.16183571429,0.0759857293599277,103,65,0.058252427184466,1.13846153846154,-2.84296951900158,0.129677823308534
EAST MIDLANDS,Professional Occupations,Librarians and Related Professionals,0,0,0,92,Low,0.610574158651888,Very Low,24.07,9.8,47.39,21510.8126,23309.4540694915,1798.64146949152,0.083615691463535,26,20,0.384615384615385,2.3695,-0.955511445027435,0.862678962425506
EAST MIDLANDS,Professional Occupations,Research and Development Managers ,0,0,0,49,Low,0.703583801282067,Low,4.61,10.03,29.49,,,,,6,,1.66666666666667,,0.510825623765993,
EAST MIDLANDS,Associate Professional And Technical Occupations,Conservation and Environmental Associate Professionals,1,0,0,46,Low,0.732548789656972,Low,11.54,14.34,16.98,22163.8923,27662.3859,5498.4936,0.248083392825366,13,27,1.07692307692308,0.62962962962963,0.0741079721537247,-0.462623521948112
EAST MIDLANDS,"Managers, Directors And Senior Officials",Chief Executives and Senior Officials,0,0,0,35,Low,0.405574622292921,Very Low,2.35,1.66,23.31,38984.1542,45530.2436258064,6546.08942580645,0.167916671789854,0,,Inf,,Inf,
EAST MIDLANDS,"Managers, Directors And Senior Officials",Managers and Proprietors in Agriculture Related Services,0,0,0,28,Low,1.06991255732149,Average,2.48,13.97,8.8,,30274.0277,,,14,,1,,0,
EAST MIDLANDS,"Managers, Directors And Senior Officials",Financial Institution Managers and Directors,0,0,0,22,Low,0.635738220444153,Very Low,2.07,2.64,14.35,29878.3291,52191.3189,22312.9898,0.746795101068754,0,,Inf,,Inf,
EAST OF ENGLAND,"Caring, Leisure And Other Service Occupations",Caring Personal Services,1,1,0,27632,Very High,1.35470602454448,High,8997.71,14781.61,3507.76,20600.0565,21400.7014842391,800.64498423913,0.0388661547719119,2611,8,5.66143240137878,438.47,1.7336769346457,6.08329139442051
EAST OF ENGLAND,Administrative And Secretarial Occupations,Other Administrative Occupations,0,1,0,26776,Very High,1.07963363639476,Average,14861.88,6586.8,4861.24,20590.6757,28567.565647005,7976.88994700503,0.387403019853546,3057,,2.15472685639516,,0.767663966749859,
EAST OF ENGLAND,Associate Professional And Technical Occupations,"Sales, Marketing and Related Associate Professionals",1,1,0,25693,Very High,0.950387406983456,Average,5343.64,2939.04,16537.36,29964.9858,38098.1842051131,8133.19840511306,0.271423402613895,1662,819,1.76835138387485,20.1916971916972,0.570047691003524,3.00527148979713
EAST OF ENGLAND,Professional Occupations,Teaching and Educational Professionals,0,1,1,23325,Very High,0.895777862936441,Average,3660.33,2385.61,10396.7,32447.4284,34209.0630525813,1761.63465258127,0.0542919651709984,1020,1157,2.33627450980392,8.98591184096802,0.848557570820425,2.19565799989074
EAST OF ENGLAND,Professional Occupations,Nursing and Midwifery Professionals,0,0,1,19553,Very High,1.10658503889962,Average,1.7,1.79,15911.38,29771.0799,34345.7934940235,4574.71359402348,0.153663004815068,10,2441,0.2,6.51536255632937,-1.6094379124341,1.87416285850339
EAST OF ENGLAND,Professional Occupations,Information Technology and Telecommunications Professionals,0,1,0,18749,Very High,0.921755154116878,Average,1811.31,1603.77,14353.79,43356.3316,51403.9853803612,8047.65378036118,0.185616575096985,3057,655,0.524370297677462,21.9141832061069,-0.645557169281281,3.08713406217947
EAST OF ENGLAND,"Process, Plant And Machine Operatives",Road Transport Drivers,0,0,0,18191,Very High,1.22447416428292,High,8068.99,5809.46,3304.69,22586.2561,23503.4902866397,917.234186639678,0.0406102801003695,443,,13.1151241534989,,2.57376607980082,
EAST OF ENGLAND,Sales And Customer Service Occupations,Sales Assistants and Retail Cashiers,0,1,0,15478,Very High,1.03010961555158,Average,7353.52,3854.54,3853.57,22731.8923,36312.5928828265,13580.7005828265,0.597429391429348,2776,,1.38832853025937,,0.328100527347619,
EAST OF ENGLAND,Sales And Customer Service Occupations,Customer Service Occupations,0,1,0,14929,High,0.985293212827779,Average,8131.65,3803.78,2563.86,21332.0372,26753.4036599671,5421.36645996705,0.25414199352545,1014,22,3.75246548323471,116.539090909091,1.32241308614466,4.7582267610074
EAST OF ENGLAND,Skilled Trades Occupations,Food Preparation and Hospitality Trades,1,1,0,12643,High,1.14679168013073,Average,4651.06,7694.08,254.76,,,,,2381,10,3.23141537169257,25.476,1.17292023682538,3.23773683250912
EAST OF ENGLAND,Associate Professional And Technical Occupations,Public Services and Other Associate Professionals,1,1,0,11390,High,0.944577946224346,Average,2818.36,2249.5,5921.65,30399.0708,39356.5276740072,8957.45687400722,0.294662193227538,875,244,2.57142857142857,24.2704918032787,0.944461608840851,3.18926128336834
EAST OF ENGLAND,Elementary Occupations,Other Elementary Services Occupations,0,1,0,11093,High,1.03022962099542,Average,5307.47,4538.79,1005.92,21254.0125,22038.4099655172,784.397465517239,0.0369058532132339,2291,,1.98123090353557,,0.683718320002968,
EAST OF ENGLAND,Professional Occupations,Health Professionals,0,0,1,11039,High,1.09240859202185,Average,121.8,108.32,7520.04,41023.5289,46441.4592260586,5417.93032605863,0.13206885100659,5,1188,21.8,6.27441077441077,3.08190996979504,1.83647958011661
EAST OF ENGLAND,Associate Professional And Technical Occupations,"Business, Finance and Related Associate Professionals",1,1,1,11019,High,0.930284214358016,Average,2027.38,2008.53,6068.66,33766.2658,46831.2324368724,13064.9666368724,0.386923644866659,1445,649,1.39031141868512,9.35078582434515,0.329527764268401,2.23546038515349
EAST OF ENGLAND,Administrative And Secretarial Occupations,Administrative Occupations: Finance,1,1,0,10245,High,1.03797010256104,Average,5135.12,1283.9,3365.5,23652.9338,35508.6489888889,11855.7151888889,0.501236560721651,2657,,0.483251787730523,,-0.727217461509907,
EAST OF ENGLAND,"Caring, Leisure And Other Service Occupations",Childcare and Related Personal Services,1,1,1,10049,High,0.895260310621671,Average,3543.62,4610.09,1533.22,21462.318,23068.2189012668,1605.9009012668,0.074824205906687,3477,247,1.32614322691976,6.20736842105263,0.282274900198845,1.82573704140592
