nation_region,soc3,soc_name,working_futures_projection
East Midlands,525,"Skilled Metal, Electrical and Electronic Trades Supervisors","Employment in this occupation is projected to remain steady until 2020 (Working Futures, 2016)"
East Midlands,531,Construction and Building Trades,"Employment in this occupation is projected to rise by 2020 (Working Futures, 2016)"
East Midlands,532,Building Finishing Trades,"Employment in this occupation is projected to fall by 2020 (Working Futures, 2016)"
East Midlands,533,Construction and Building Trades Supervisors,"Employment in this occupation is projected to remain steady until 2020 (Working Futures, 2016)"
East Midlands,541,Textiles and Garments Trades,"Employment in this occupation is projected to rise by 2020 (Working Futures, 2016)"
East Midlands,542,Printing Trades,"Employment in this occupation is projected to fall by 2020 (Working Futures, 2016)"
East Midlands,543,Food Preparation and Hospitality Trades,"Employment in this occupation is projected to remain steady until 2020 (Working Futures, 2016)"
East Midlands,544,Other Skilled Trades,"Employment in this occupation is projected to rise by 2020 (Working Futures, 2016)"
East Midlands,612,Childcare and Related Personal Services,"Employment in this occupation is projected to fall by 2020 (Working Futures, 2016)"
East Midlands,613,Animal Care and Control Services,"Employment in this occupation is projected to remain steady until 2020 (Working Futures, 2016)"
East Midlands,614,Caring Personal Services,"Employment in this occupation is projected to rise by 2020 (Working Futures, 2016)"
East Midlands,621,Leisure and Travel Services,"Employment in this occupation is projected to fall by 2020 (Working Futures, 2016)"
East Midlands,622,Hairdressers and Related Services,"Employment in this occupation is projected to remain steady until 2020 (Working Futures, 2016)"
East Midlands,711,Sales Assistants and Retail Cashiers,"Employment in this occupation is projected to rise by 2020 (Working Futures, 2016)"
East Midlands,712,Sales Related Occupations,"Employment in this occupation is projected to fall by 2020 (Working Futures, 2016)"
East Midlands,713,Sales Supervisors,"Employment in this occupation is projected to remain steady until 2020 (Working Futures, 2016)"
East Midlands,721,Customer Service Occupations,"Employment in this occupation is projected to rise by 2020 (Working Futures, 2016)"
East Midlands,722,Customer Service Managers and Supervisors,"Employment in this occupation is projected to fall by 2020 (Working Futures, 2016)"
East of England,222,Therapy Professionals,"Employment in this occupation is projected to remain steady until 2020 (Working Futures, 2016)"
East of England,223,Nursing and Midwifery Professionals,"Employment in this occupation is projected to rise by 2020 (Working Futures, 2016)"
East of England,231,Teaching and Educational Professionals,"Employment in this occupation is projected to fall by 2020 (Working Futures, 2016)"
East of England,241,Legal Professionals,"Employment in this occupation is projected to remain steady until 2020 (Working Futures, 2016)"
East of England,242,"Business, Research and Administrative Professionals","Employment in this occupation is projected to rise by 2020 (Working Futures, 2016)"
East of England,243,"Architects, Town Planners and Surveyors","Employment in this occupation is projected to fall by 2020 (Working Futures, 2016)"
East of England,244,Welfare Professionals,"Employment in this occupation is projected to remain steady until 2020 (Working Futures, 2016)"
East of England,245,Librarians and Related Professionals,"Employment in this occupation is projected to rise by 2020 (Working Futures, 2016)"
East of England,246,Quality and Regulatory Professionals,"Employment in this occupation is projected to fall by 2020 (Working Futures, 2016)"
East of England,247,Media Professionals,"Employment in this occupation is projected to remain steady until 2020 (Working Futures, 2016)"
East of England,311,"Science, Engineering and Production Technicians","Employment in this occupation is projected to rise by 2020 (Working Futures, 2016)"
East of England,312,Draughtspersons and Related Architectural Technicians,"Employment in this occupation is projected to fall by 2020 (Working Futures, 2016)"
East of England,313,Information Technology Technicians,"Employment in this occupation is projected to remain steady until 2020 (Working Futures, 2016)"
East of England,321,Health Associate Professionals,"Employment in this occupation is projected to rise by 2020 (Working Futures, 2016)"
East of England,323,Welfare and Housing Associate Professionals,"Employment in this occupation is projected to fall by 2020 (Working Futures, 2016)"
East of England,331,Protective Service Occupations,"Employment in this occupation is projected to remain steady until 2020 (Working Futures, 2016)"
East of England,341,"Artistic, Literary and Media Occupations","Employment in this occupation is projected to rise by 2020 (Working Futures, 2016)"
East of England,342,Design Occupations,"Employment in this occupation is projected to fall by 2020 (Working Futures, 2016)"
East of England,344,Sports and Fitness Occupations,"Employment in this occupation is projected to remain steady until 2020 (Working Futures, 2016)"
East of England,351,Transport Associate Professionals,"Employment in this occupation is projected to rise by 2020 (Working Futures, 2016)"
East of England,352,Legal Associate Professionals,"Employment in this occupation is projected to fall by 2020 (Working Futures, 2016)"
East of England,353,"Business, Finance and Related Associate Professionals","Employment in this occupation is projected to remain steady until 2020 (Working Futures, 2016)"
East of England,354,"Sales, Marketing and Related Associate Professionals","Employment in this occupation is projected to rise by 2020 (Working Futures, 2016)"
East of England,355,Conservation and Environmental Associate Professionals,"Employment in this occupation is projected to fall by 2020 (Working Futures, 2016)"
East of England,356,Public Services and Other Associate Professionals,"Employment in this occupation is projected to remain steady until 2020 (Working Futures, 2016)"
East of England,411,Administrative Occupations: Government and Related Organisations,"Employment in this occupation is projected to rise by 2020 (Working Futures, 2016)"
East of England,412,Administrative Occupations: Finance,"Employment in this occupation is projected to fall by 2020 (Working Futures, 2016)"
East of England,413,Administrative Occupations: Records,"Employment in this occupation is projected to remain steady until 2020 (Working Futures, 2016)"
East of England,416,Administrative Occupations: Office Managers and Supervisors,"Employment in this occupation is projected to rise by 2020 (Working Futures, 2016)"
East of England,421,Secretarial and Related Occupations,"Employment in this occupation is projected to fall by 2020 (Working Futures, 2016)"
East of England,511,Agricultural and Related Trades,"Employment in this occupation is projected to remain steady until 2020 (Working Futures, 2016)"
East of England,521,"Metal Forming, Welding and Related Trades","Employment in this occupation is projected to rise by 2020 (Working Futures, 2016)"
East of England,522,"Metal Machining, Fitting and Instrument Making Trades","Employment in this occupation is projected to fall by 2020 (Working Futures, 2016)"
East of England,523,Vehicle Trades,"Employment in this occupation is projected to remain steady until 2020 (Working Futures, 2016)"
East of England,524,Electrical and Electronic Trades,"Employment in this occupation is projected to rise by 2020 (Working Futures, 2016)"
East of England,525,"Skilled Metal, Electrical and Electronic Trades Supervisors","Employment in this occupation is projected to fall by 2020 (Working Futures, 2016)"
East of England,531,Construction and Building Trades,"Employment in this occupation is projected to remain steady until 2020 (Working Futures, 2016)"
East of England,532,Building Finishing Trades,"Employment in this occupation is projected to rise by 2020 (Working Futures, 2016)"
East of England,533,Construction and Building Trades Supervisors,"Employment in this occupation is projected to fall by 2020 (Working Futures, 2016)"
East of England,541,Textiles and Garments Trades,"Employment in this occupation is projected to remain steady until 2020 (Working Futures, 2016)"
East of England,542,Printing Trades,"Employment in this occupation is projected to rise by 2020 (Working Futures, 2016)"
East of England,543,Food Preparation and Hospitality Trades,"Employment in this occupation is projected to fall by 2020 (Working Futures, 2016)"
East of England,544,Other Skilled Trades,"Employment in this occupation is projected to remain steady until 2020 (Working Futures, 2016)"
East of England,612,Childcare and Related Personal Services,"Employment in this occupation is projected to rise by 2020 (Working Futures, 2016)"
East of England,613,Animal Care and Control Services,"Employment in this occupation is projected to fall by 2020 (Working Futures, 2016)"
East of England,614,Caring Personal Services,"Employment in this occupation is projected to remain steady until 2020 (Working Futures, 2016)"
East of England,621,Leisure and Travel Services,"Employment in this occupation is projected to rise by 2020 (Working Futures, 2016)"
East of England,622,Hairdressers and Related Services,"Employment in this occupation is projected to fall by 2020 (Working Futures, 2016)"
East of England,711,Sales Assistants and Retail Cashiers,"Employment in this occupation is projected to remain steady until 2020 (Working Futures, 2016)"
East of England,712,Sales Related Occupations,"Employment in this occupation is projected to rise by 2020 (Working Futures, 2016)"
East of England,713,Sales Supervisors,"Employment in this occupation is projected to fall by 2020 (Working Futures, 2016)"
East of England,721,Customer Service Occupations,"Employment in this occupation is projected to remain steady until 2020 (Working Futures, 2016)"
East of England,722,Customer Service Managers and Supervisors,"Employment in this occupation is projected to rise by 2020 (Working Futures, 2016)"
London,222,Therapy Professionals,"Employment in this occupation is projected to fall by 2020 (Working Futures, 2016)"
London,223,Nursing and Midwifery Professionals,"Employment in this occupation is projected to remain steady until 2020 (Working Futures, 2016)"
London,231,Teaching and Educational Professionals,"Employment in this occupation is projected to rise by 2020 (Working Futures, 2016)"
London,241,Legal Professionals,"Employment in this occupation is projected to fall by 2020 (Working Futures, 2016)"
London,242,"Business, Research and Administrative Professionals","Employment in this occupation is projected to remain steady until 2020 (Working Futures, 2016)"
London,243,"Architects, Town Planners and Surveyors","Employment in this occupation is projected to rise by 2020 (Working Futures, 2016)"
London,244,Welfare Professionals,"Employment in this occupation is projected to fall by 2020 (Working Futures, 2016)"
London,245,Librarians and Related Professionals,"Employment in this occupation is projected to remain steady until 2020 (Working Futures, 2016)"
London,246,Quality and Regulatory Professionals,"Employment in this occupation is projected to rise by 2020 (Working Futures, 2016)"
London,247,Media Professionals,"Employment in this occupation is projected to fall by 2020 (Working Futures, 2016)"
London,311,"Science, Engineering and Production Technicians","Employment in this occupation is projected to remain steady until 2020 (Working Futures, 2016)"
London,312,Draughtspersons and Related Architectural Technicians,"Employment in this occupation is projected to rise by 2020 (Working Futures, 2016)"
London,313,Information Technology Technicians,"Employment in this occupation is projected to fall by 2020 (Working Futures, 2016)"
London,321,Health Associate Professionals,"Employment in this occupation is projected to remain steady until 2020 (Working Futures, 2016)"
London,323,Welfare and Housing Associate Professionals,"Employment in this occupation is projected to rise by 2020 (Working Futures, 2016)"
London,331,Protective Service Occupations,"Employment in this occupation is projected to fall by 2020 (Working Futures, 2016)"
London,341,"Artistic, Literary and Media Occupations","Employment in this occupation is projected to remain steady until 2020 (Working Futures, 2016)"
London,342,Design Occupations,"Employment in this occupation is projected to rise by 2020 (Working Futures, 2016)"
London,344,Sports and Fitness Occupations,"Employment in this occupation is projected to fall by 2020 (Working Futures, 2016)"
London,351,Transport Associate Professionals,"Employment in this occupation is projected to remain steady until 2020 (Working Futures, 2016)"
London,352,Legal Associate Professionals,"Employment in this occupation is projected to rise by 2020 (Working Futures, 2016)"
London,353,"Business, Finance and Related Associate Professionals","Employment in this occupation is projected to fall by 2020 (Working Futures, 2016)"
London,354,"Sales, Marketing and Related Associate Professionals","Employment in this occupation is projected to remain steady until 2020 (Working Futures, 2016)"
London,355,Conservation and Environmental Associate Professionals,"Employment in this occupation is projected to rise by 2020 (Working Futures, 2016)"
London,356,Public Services and Other Associate Professionals,"Employment in this occupation is projected to fall by 2020 (Working Futures, 2016)"
London,411,Administrative Occupations: Government and Related Organisations,"Employment in this occupation is projected to remain steady until 2020 (Working Futures, 2016)"
London,412,Administrative Occupations: Finance,"Employment in this occupation is projected to rise by 2020 (Working Futures, 2016)"
London,413,Administrative Occupations: Records,"Employment in this occupation is projected to fall by 2020 (Working Futures, 2016)"
London,416,Administrative Occupations: Office Managers and Supervisors,"Employment in this occupation is projected to remain steady until 2020 (Working Futures, 2016)"
London,421,Secretarial and Related Occupations,"Employment in this occupation is projected to rise by 2020 (Working Futures, 2016)"
London,511,Agricultural and Related Trades,"Employment in this occupation is projected to fall by 2020 (Working Futures, 2016)"
London,521,"Metal Forming, Welding and Related Trades","Employment in this occupation is projected to remain steady until 2020 (Working Futures, 2016)"
London,522,"Metal Machining, Fitting and Instrument Making Trades","Employment in this occupation is projected to rise by 2020 (Working Futures, 2016)"
London,523,Vehicle Trades,"Employment in this occupation is projected to fall by 2020 (Working Futures, 2016)"
London,524,Electrical and Electronic Trades,"Employment in this occupation is projected to remain steady until 2020 (Working Futures, 2016)"
London,525,"Skilled Metal, Electrical and Electronic Trades Supervisors","Employment in this occupation is projected to rise by 2020 (Working Futures, 2016)"
London,531,Construction and Building Trades,"Employment in this occupation is projected to fall by 2020 (Working Futures, 2016)"
London,532,Building Finishing Trades,"Employment in this occupation is projected to remain steady until 2020 (Working Futures, 2016)"
London,533,Construction and Building Trades Supervisors,"Employment in this occupation is projected to rise by 2020 (Working Futures, 2016)"
London,541,Textiles and Garments Trades,"Employment in this occupation is projected to fall by 2020 (Working Futures, 2016)"
London,542,Printing Trades,"Employment in this occupation is projected to remain steady until 2020 (Working Futures, 2016)"
London,543,Food Preparation and Hospitality Trades,"Employment in this occupation is projected to rise by 2020 (Working Futures, 2016)"
London,544,Other Skilled Trades,"Employment in this occupation is projected to fall by 2020 (Working Futures, 2016)"
London,612,Childcare and Related Personal Services,"Employment in this occupation is projected to remain steady until 2020 (Working Futures, 2016)"
London,613,Animal Care and Control Services,"Employment in this occupation is projected to rise by 2020 (Working Futures, 2016)"
London,614,Caring Personal Services,"Employment in this occupation is projected to fall by 2020 (Working Futures, 2016)"
London,621,Leisure and Travel Services,"Employment in this occupation is projected to remain steady until 2020 (Working Futures, 2016)"
London,622,Hairdressers and Related Services,"Employment in this occupation is projected to rise by 2020 (Working Futures, 2016)"
London,711,Sales Assistants and Retail Cashiers,"Employment in this occupation is projected to fall by 2020 (Working Futures, 2016)"
London,712,Sales Related Occupations,"Employment in this occupation is projected to remain steady until 2020 (Working Futures, 2016)"
London,713,Sales Supervisors,"Employment in this occupation is projected to rise by 2020 (Working Futures, 2016)"
London,721,Customer Service Occupations,"Employment in this occupation is projected to fall by 2020 (Working Futures, 2016)"
London,722,Customer Service Managers and Supervisors,"Employment in this occupation is projected to remain steady until 2020 (Working Futures, 2016)"
North East,222,Therapy Professionals,"Employment in this occupation is projected to rise by 2020 (Working Futures, 2016)"
North East,223,Nursing and Midwifery Professionals,"Employment in this occupation is projected to fall by 2020 (Working Futures, 2016)"
North East,231,Teaching and Educational Professionals,"Employment in this occupation is projected to remain steady until 2020 (Working Futures, 2016)"
North East,241,Legal Professionals,"Employment in this occupation is projected to rise by 2020 (Working Futures, 2016)"
North East,242,"Business, Research and Administrative Professionals","Employment in this occupation is projected to fall by 2020 (Working Futures, 2016)"
North East,243,"Architects, Town Planners and Surveyors","Employment in this occupation is projected to remain steady until 2020 (Working Futures, 2016)"
North East,244,Welfare Professionals,"Employment in this occupation is projected to rise by 2020 (Working Futures, 2016)"
North East,245,Librarians and Related Professionals,"Employment in this occupation is projected to fall by 2020 (Working Futures, 2016)"
North East,246,Quality and Regulatory Professionals,"Employment in this occupation is projected to remain steady until 2020 (Working Futures, 2016)"
North East,247,Media Professionals,"Employment in this occupation is projected to rise by 2020 (Working Futures, 2016)"
North East,311,"Science, Engineering and Production Technicians","Employment in this occupation is projected to fall by 2020 (Working Futures, 2016)"
North East,312,Draughtspersons and Related Architectural Technicians,"Employment in this occupation is projected to remain steady until 2020 (Working Futures, 2016)"
North East,313,Information Technology Technicians,"Employment in this occupation is projected to rise by 2020 (Working Futures, 2016)"
North East,321,Health Associate Professionals,"Employment in this occupation is projected to fall by 2020 (Working Futures, 2016)"
North East,323,Welfare and Housing Associate Professionals,"Employment in this occupation is projected to remain steady until 2020 (Working Futures, 2016)"
North East,331,Protective Service Occupations,"Employment in this occupation is projected to rise by 2020 (Working Futures, 2016)"
North East,341,"Artistic, Literary and Media Occupations","Employment in this occupation is projected to fall by 2020 (Working Futures, 2016)"
North East,342,Design Occupations,"Employment in this occupation is projected to remain steady until 2020 (Working Futures, 2016)"
North East,344,Sports and Fitness Occupations,"Employment in this occupation is projected to rise by 2020 (Working Futures, 2016)"
North East,351,Transport Associate Professionals,"Employment in this occupation is projected to fall by 2020 (Working Futures, 2016)"
North East,352,Legal Associate Professionals,"Employment in this occupation is projected to remain steady until 2020 (Working Futures, 2016)"
North East,353,"Business, Finance and Related Associate Professionals","Employment in this occupation is projected to rise by 2020 (Working Futures, 2016)"
North East,354,"Sales, Marketing and Related Associate Professionals","Employment in this occupation is projected to fall by 2020 (Working Futures, 2016)"
North East,355,Conservation and Environmental Associate Professionals,"Employment in this occupation is projected to remain steady until 2020 (Working Futures, 2016)"
North East,356,Public Services and Other Associate Professionals,"Employment in this occupation is projected to rise by 2020 (Working Futures, 2016)"
North East,411,Administrative Occupations: Government and Related Organisations,"Employment in this occupation is projected to fall by 2020 (Working Futures, 2016)"
North East,412,Administrative Occupations: Finance,"Employment in this occupation is projected to remain steady until 2020 (Working Futures, 2016)"
North East,413,Administrative Occupations: Records,"Employment in this occupation is projected to rise by 2020 (Working Futures, 2016)"
North East,416,Administrative Occupations: Office Managers and Supervisors,"Employment in this occupation is projected to fall by 2020 (Working Futures, 2016)"
North East,421,Secretarial and Related Occupations,"Employment in this occupation is projected to remain steady until 2020 (Working Futures, 2016)"
North East,511,Agricultural and Related Trades,"Employment in this occupation is projected to rise by 2020 (Working Futures, 2016)"
North East,521,"Metal Forming, Welding and Related Trades","Employment in this occupation is projected to fall by 2020 (Working Futures, 2016)"
North East,522,"Metal Machining, Fitting and Instrument Making Trades","Employment in this occupation is projected to remain steady until 2020 (Working Futures, 2016)"
North East,523,Vehicle Trades,"Employment in this occupation is projected to rise by 2020 (Working Futures, 2016)"
North East,524,Electrical and Electronic Trades,"Employment in this occupation is projected to fall by 2020 (Working Futures, 2016)"
North East,525,"Skilled Metal, Electrical and Electronic Trades Supervisors","Employment in this occupation is projected to remain steady until 2020 (Working Futures, 2016)"
North East,531,Construction and Building Trades,"Employment in this occupation is projected to rise by 2020 (Working Futures, 2016)"
North East,532,Building Finishing Trades,"Employment in this occupation is projected to fall by 2020 (Working Futures, 2016)"
North East,533,Construction and Building Trades Supervisors,"Employment in this occupation is projected to remain steady until 2020 (Working Futures, 2016)"
North East,541,Textiles and Garments Trades,"Employment in this occupation is projected to rise by 2020 (Working Futures, 2016)"
North East,542,Printing Trades,"Employment in this occupation is projected to fall by 2020 (Working Futures, 2016)"
North East,543,Food Preparation and Hospitality Trades,"Employment in this occupation is projected to remain steady until 2020 (Working Futures, 2016)"
North East,544,Other Skilled Trades,"Employment in this occupation is projected to rise by 2020 (Working Futures, 2016)"
North East,612,Childcare and Related Personal Services,"Employment in this occupation is projected to fall by 2020 (Working Futures, 2016)"
North East,613,Animal Care and Control Services,"Employment in this occupation is projected to remain steady until 2020 (Working Futures, 2016)"
North East,614,Caring Personal Services,"Employment in this occupation is projected to rise by 2020 (Working Futures, 2016)"
North East,621,Leisure and Travel Services,"Employment in this occupation is projected to fall by 2020 (Working Futures, 2016)"
North East,622,Hairdressers and Related Services,"Employment in this occupation is projected to remain steady until 2020 (Working Futures, 2016)"
North East,711,Sales Assistants and Retail Cashiers,"Employment in this occupation is projected to rise by 2020 (Working Futures, 2016)"
North East,712,Sales Related Occupations,"Employment in this occupation is projected to fall by 2020 (Working Futures, 2016)"
North East,713,Sales Supervisors,"Employment in this occupation is projected to remain steady until 2020 (Working Futures, 2016)"
North East,721,Customer Service Occupations,"Employment in this occupation is projected to rise by 2020 (Working Futures, 2016)"
North East,722,Customer Service Managers and Supervisors,"Employment in this occupation is projected to fall by 2020 (Working Futures, 2016)"
North West,222,Therapy Professionals,"Employment in this occupation is projected to remain steady until 2020 (Working Futures, 2016)"
North West,223,Nursing and Midwifery Professionals,"Employment in this occupation is projected to rise by 2020 (Working Futures, 2016)"
North West,231,Teaching and Educational Professionals,"Employment in this occupation is projected to fall by 2020 (Working Futures, 2016)"
North West,241,Legal Professionals,"Employment in this occupation is projected to remain steady until 2020 (Working Futures, 2016)"
North West,242,"Business, Research and Administrative Professionals","Employment in this occupation is projected to rise by 2020 (Working Futures, 2016)"
North West,243,"Architects, Town Planners and Surveyors","Employment in this occupation is projected to fall by 2020 (Working Futures, 2016)"
North West,244,Welfare Professionals,"Employment in this occupation is projected to remain steady until 2020 (Working Futures, 2016)"
North West,245,Librarians and Related Professionals,"Employment in this occupation is projected to rise by 2020 (Working Futures, 2016)"
North West,246,Quality and Regulatory Professionals,"Employment in this occupation is projected to fall by 2020 (Working Futures, 2016)"
North West,247,Media Professionals,"Employment in this occupation is projected to remain steady until 2020 (Working Futures, 2016)"
North West,311,"Science, Engineering and Production Technicians","Employment in this occupation is projected to rise by 2020 (Working Futures, 2016)"
North West,312,Draughtspersons and Related Architectural Technicians,"Employment in this occupation is projected to fall by 2020 (Working Futures, 2016)"
North West,313,Information Technology Technicians,"Employment in this occupation is projected to remain steady until 2020 (Working Futures, 2016)"
North West,321,Health Associate Professionals,"Employment in this occupation is projected to rise by 2020 (Working Futures, 2016)"
North West,323,Welfare and Housing Associate Professionals,"Employment in this occupation is projected to fall by 2020 (Working Futures, 2016)"
North West,331,Protective Service Occupations,"Employment in this occupation is projected to remain steady until 2020 (Working Futures, 2016)"
North West,341,"Artistic, Literary and Media Occupations","Employment in this occupation is projected to rise by 2020 (Working Futures, 2016)"
North West,342,Design Occupations,"Employment in this occupation is projected to fall by 2020 (Working Futures, 2016)"
North West,344,Sports and Fitness Occupations,"Employment in this occupation is projected to remain steady until 2020 (Working Futures, 2016)"
North West,351,Transport Associate Professionals,"Employment in this occupation is projected to rise by 2020 (Working Futures, 2016)"
North West,352,Legal Associate Professionals,"Employment in this occupation is projected to fall by 2020 (Working Futures, 2016)"
North West,353,"Business, Finance and Related Associate Professionals","Employment in this occupation is projected to remain steady until 2020 (Working Futures, 2016)"
North West,354,"Sales, Marketing and Related Associate Professionals","Employment in this occupation is projected to rise by 2020 (Working Futures, 2016)"
North West,355,Conservation and Environmental Associate Professionals,"Employment in this occupation is projected to fall by 2020 (Working Futures, 2016)"
North West,356,Public Services and Other Associate Professionals,"Employment in this occupation is projected to remain steady until 2020 (Working Futures, 2016)"
North West,411,Administrative Occupations: Government and Related Organisations,"Employment in this occupation is projected to rise by 2020 (Working Futures, 2016)"
North West,412,Administrative Occupations: Finance,"Employment in this occupation is projected to fall by 2020 (Working Futures, 2016)"
North West,413,Administrative Occupations: Records,"Employment in this occupation is projected to remain steady until 2020 (Working Futures, 2016)"
North West,416,Administrative Occupations: Office Managers and Supervisors,"Employment in this occupation is projected to rise by 2020 (Working Futures, 2016)"
North West,421,Secretarial and Related Occupations,"Employment in this occupation is projected to fall by 2020 (Working Futures, 2016)"
North West,511,Agricultural and Related Trades,"Employment in this occupation is projected to remain steady until 2020 (Working Futures, 2016)"
North West,521,"Metal Forming, Welding and Related Trades","Employment in this occupation is projected to rise by 2020 (Working Futures, 2016)"
North West,522,"Metal Machining, Fitting and Instrument Making Trades","Employment in this occupation is projected to fall by 2020 (Working Futures, 2016)"
North West,523,Vehicle Trades,"Employment in this occupation is projected to remain steady until 2020 (Working Futures, 2016)"
North West,524,Electrical and Electronic Trades,"Employment in this occupation is projected to rise by 2020 (Working Futures, 2016)"
North West,525,"Skilled Metal, Electrical and Electronic Trades Supervisors","Employment in this occupation is projected to fall by 2020 (Working Futures, 2016)"
North West,531,Construction and Building Trades,"Employment in this occupation is projected to remain steady until 2020 (Working Futures, 2016)"
North West,532,Building Finishing Trades,"Employment in this occupation is projected to rise by 2020 (Working Futures, 2016)"
North West,533,Construction and Building Trades Supervisors,"Employment in this occupation is projected to fall by 2020 (Working Futures, 2016)"
North West,541,Textiles and Garments Trades,"Employment in this occupation is projected to remain steady until 2020 (Working Futures, 2016)"
North West,542,Printing Trades,"Employment in this occupation is projected to rise by 2020 (Working Futures, 2016)"
North West,543,Food Preparation and Hospitality Trades,"Employment in this occupation is projected to fall by 2020 (Working Futures, 2016)"
North West,544,Other Skilled Trades,"Employment in this occupation is projected to remain steady until 2020 (Working Futures, 2016)"
North West,612,Childcare and Related Personal Services,"Employment in this occupation is projected to rise by 2020 (Working Futures, 2016)"
North West,613,Animal Care and Control Services,"Employment in this occupation is projected to fall by 2020 (Working Futures, 2016)"
North West,614,Caring Personal Services,"Employment in this occupation is projected to remain steady until 2020 (Working Futures, 2016)"
North West,621,Leisure and Travel Services,"Employment in this occupation is projected to rise by 2020 (Working Futures, 2016)"
North West,622,Hairdressers and Related Services,"Employment in this occupation is projected to fall by 2020 (Working Futures, 2016)"
North West,711,Sales Assistants and Retail Cashiers,"Employment in this occupation is projected to remain steady until 2020 (Working Futures, 2016)"
North West,712,Sales Related Occupations,"Employment in this occupation is projected to rise by 2020 (Working Futures, 2016)"
North West,713,Sales Supervisors,"Employment in this occupation is projected to fall by 2020 (Working Futures, 2016)"
North West,721,Customer Service Occupations,"Employment in this occupation is projected to remain steady until 2020 (Working Futures, 2016)"
North West,722,Customer Service Managers and Supervisors,"Employment in this occupation is projected to rise by 2020 (Working Futures, 2016)"
Northern Ireland,222,Therapy Professionals,"Employment in this occupation is projected to fall by 2020 (Working Futures, 2016)"
