soc_3,soc3_name,common_titles_for_this_occupation_group_include
522,"Metal Machining, Fitting and Instrument Making Trades",Service Technician
522,"Metal Machining, Fitting and Instrument Making Trades",Mechanical Fitter
522,"Metal Machining, Fitting and Instrument Making Trades",CNC Machinist
522,"Metal Machining, Fitting and Instrument Making Trades",Toolmaker
523,Vehicle Trades,Mechanic
523,Vehicle Trades,Vehicle Technician
523,Vehicle Trades,Hgv Technician
523,Vehicle Trades,Mechanic / MOT Tester
523,Vehicle Trades,Auto Technician
524,Electrical and Electronic Trades,Field Service Engineer
524,Electrical and Electronic Trades,Electrician
524,Electrical and Electronic Trades,Electrical Engineer
524,Electrical and Electronic Trades,Service Engineer
524,Electrical and Electronic Trades,Electrician's Helper
525,"Skilled Metal, Electrical and Electronic Trades Supervisors",Workshop Controller
525,"Skilled Metal, Electrical and Electronic Trades Supervisors",Electrical Supervisor
525,"Skilled Metal, Electrical and Electronic Trades Supervisors",General Foreman
525,"Skilled Metal, Electrical and Electronic Trades Supervisors",Mechanical Supervisor
525,"Skilled Metal, Electrical and Electronic Trades Supervisors",Workshop Supervisor
531,Construction and Building Trades,Plumber
531,Construction and Building Trades,Carpenter
531,Construction and Building Trades,Pipefitter
531,Construction and Building Trades,Bricklayer
531,Construction and Building Trades,Joiner
532,Building Finishing Trades,Painter And Decorator
532,Building Finishing Trades,Painter
532,Building Finishing Trades,Plasterer
532,Building Finishing Trades,Tiler
532,Building Finishing Trades,Floor Layer
533,Construction and Building Trades Supervisors,Finishing Foreman
533,Construction and Building Trades Supervisors,Site Foreman
533,Construction and Building Trades Supervisors,Ganger
533,Construction and Building Trades Supervisors,Groundworks Foreman
533,Construction and Building Trades Supervisors,Contract Supervisor
541,Textiles and Garments Trades,Upholsterer
541,Textiles and Garments Trades,Tailor
541,Textiles and Garments Trades,Pattern Cutter
541,Textiles and Garments Trades,Upholstery Technician
541,Textiles and Garments Trades,Fabric Cutter
542,Printing Trades,Print Finisher
542,Printing Trades,Flexographic Printer
542,Printing Trades,Screen Printer
542,Printing Trades,Printer
542,Printing Trades,Digital Print Operator
543,Food Preparation and Hospitality Trades,Chef
543,Food Preparation and Hospitality Trades,Sous Chef
543,Food Preparation and Hospitality Trades,Head Chef
543,Food Preparation and Hospitality Trades,Kitchen Manager
543,Food Preparation and Hospitality Trades,Cook
544,Other Skilled Trades,Food Technologist
544,Other Skilled Trades,Cabinet Maker
544,Other Skilled Trades,Licenced Surveyor
544,Other Skilled Trades,Sustainability Consultant
544,Other Skilled Trades,Industrial Painter
612,Childcare and Related Personal Services,Teacher's Assistant
612,Childcare and Related Personal Services,SEN Teacher's Assistant
612,Childcare and Related Personal Services,Nursery Nurse
612,Childcare and Related Personal Services,Babysitter
612,Childcare and Related Personal Services,Nanny
613,Animal Care and Control Services,Veterinary Nurse
613,Animal Care and Control Services,Veterinary Assistant
613,Animal Care and Control Services,Animal Technician
613,Animal Care and Control Services,Dog Walker
613,Animal Care and Control Services,Pest Control Technician
614,Caring Personal Services,Personal Care Assistant
614,Caring Personal Services,Support Worker
614,Caring Personal Services,Care Worker
614,Caring Personal Services,Support Workers
614,Caring Personal Services,Domestic Assistant
621,Leisure and Travel Services,Travel Consultant
621,Leisure and Travel Services,Activities Coordinator
621,Leisure and Travel Services,Recreation Assistant
621,Leisure and Travel Services,Lifeguard
621,Leisure and Travel Services,Activities Assistant
622,Hairdressers and Related Services,Beauty Therapist
622,Hairdressers and Related Services,Hair Stylist
622,Hairdressers and Related Services,Nail Technician
622,Hairdressers and Related Services,Makeup Artist
622,Hairdressers and Related Services,Barber
711,Sales Assistants and Retail Cashiers,Sales Executive
711,Sales Assistants and Retail Cashiers,Telemarketer
711,Sales Assistants and Retail Cashiers,Retail Salesperson
711,Sales Assistants and Retail Cashiers,Sales Consultant
711,Sales Assistants and Retail Cashiers,Telesales Advisor
712,Sales Related Occupations,Sales Executive
712,Sales Related Occupations,Sales Representative
712,Sales Related Occupations,Merchandiser
712,Sales Related Occupations,Sales Account Manager
712,Sales Related Occupations,Sales Specialist
713,Sales Supervisors,Sales Manager
713,Sales Supervisors,Assistant Manager
713,Sales Supervisors,Sales Executive
713,Sales Supervisors,Shop Manager
713,Sales Supervisors,Area Sales Manager
721,Customer Service Occupations,Customer Service Advisor
721,Customer Service Occupations,Customer Service Representative
721,Customer Service Occupations,Customer Service Assistant
721,Customer Service Occupations,Customer Service Agent
721,Customer Service Occupations,Customer Services Coordinator
722,Customer Service Managers and Supervisors,Customer Service Manager
722,Customer Service Managers and Supervisors,Team Manager
722,Customer Service Managers and Supervisors,Customer Service Team Leader
722,Customer Service Managers and Supervisors,Customer Service Supervisor
722,Customer Service Managers and Supervisors,Client Service Manager
