geography_type,geography_name,occupation,occupation_group,occ_abb,demand_entry,demand_ticker,demand_entry_sl,demand_entry_fe,demand_entry_he,reg_salary,reg_salary_label,lq,lq_label,fe_opportunity_score,he_opportunity_score,fe_opportunity_level,he_opportunity_level
Country,UK Total,Administrative Occupations: Office Managers and Supervisors,Administrative And Secretarial Occupations,Administrative: Office Mngrs,28124,Medium,16983.66,11140.34,0,36500,High,,,70,,High,
Country,UK Total,Secretarial and Related Occupations,Administrative And Secretarial Occupations,Secretarial Occs,163474,High,117492.88,45981.12,0,32800,High,,,67,,High,
Country,UK Total,Agricultural and Related Trades,Skilled Trades Occupations,Agricultural Trades,39853,Medium,17455.72,18523.8,3786.26,35100,High,,,63,99,Medium,Very High
Country,UK Total,"Metal Forming, Welding and Related Trades",Skilled Trades Occupations,Metal Forming Trades,17589,Low,6971.66,10617.34,0,28600,Medium,,,71,,High,
Country,UK Total,"Metal Machining, Fitting and Instrument Making Trades",Skilled Trades Occupations,Metal Machining Trades,30157,Medium,8479.13,21672.94,0,31000,High,,,67,,High,
Country,UK Total,Vehicle Trades,Skilled Trades Occupations,Vehicle Trades,48923,Medium,11339.41,37373.66,0,31000,High,,,61,,Medium,
Country,UK Total,Electrical and Electronic Trades,Skilled Trades Occupations,Electrical/Electronic Trades,42877,Medium,8766.42,29421.38,4319.57,35700,High,,,58,99,Medium,Very High
Country,UK Total,"Skilled Metal, Electrical and Electronic Trades Supervisors",Skilled Trades Occupations,Metal Trades Supvrs,3251,Low,1010.81,2240.19,0,37600,High,,,64,,Medium,
Country,UK Total,Construction and Building Trades,Skilled Trades Occupations,Construction Trades,76941,Medium,18515.65,58363.05,0,32900,High,,,51,,Medium,
Country,UK Total,Building Finishing Trades,Skilled Trades Occupations,Building Finishing Trades,17784,Low,4075.78,13708.22,0,29900,Medium,,,52,,Medium,
Country,UK Total,Construction and Building Trades Supervisors,Skilled Trades Occupations,Construction Trades Supvrs,3999,Low,1600.86,1993.18,373.33,33600,High,,,48,99,Medium,Very High
Country,UK Total,Textiles and Garments Trades,Skilled Trades Occupations,Textiles Trades,7162,Low,3485.64,2905.76,685,30700,Medium,,,78,92,High,Very High
Country,UK Total,Printing Trades,Skilled Trades Occupations,Printing Trades,7242,Low,3613.94,3628.06,0,36900,High,,,69,,High,
Country,UK Total,Food Preparation and Hospitality Trades,Skilled Trades Occupations,Hospitality Trades,145549,High,58863.39,86522.01,0,25100,Medium,,,71,,High,
Country,UK Total,Other Skilled Trades,Skilled Trades Occupations,Skilled Trades (Other),14888,Low,6884.92,6576.34,948.44,35700,High,,,50,99,Medium,Very High
Country,UK Total,Childcare and Related Personal Services,"Caring, Leisure And Other Service Occupations",Childcare,190086,Very High,76982.14,73896.43,29846.02,25100,Medium,,,64,99,Medium,Very High
Country,UK Total,Animal Care and Control Services,"Caring, Leisure And Other Service Occupations",Animal Care,12701,Low,5433.16,5164.08,1650.33,28700,Medium,,,37,64,Medium,Medium
Country,UK Total,Caring Personal Services,"Caring, Leisure And Other Service Occupations",Personal Care,263297,Very High,54214.38,203758.64,5047.69,26000,Medium,,,92,68,Very High,High
Country,UK Total,Leisure and Travel Services,"Caring, Leisure And Other Service Occupations",Leisure,35530,Medium,21467.98,13490.34,529.55,25900,Medium,,,58,49,Medium,Medium
Country,UK Total,Hairdressers and Related Services,"Caring, Leisure And Other Service Occupations",Hairdressers,52805,Medium,15670.8,35102.75,1871.86,30700,Medium,,,49,99,Medium,Very High
Country,UK Total,Sales Assistants and Retail Cashiers,Sales And Customer Service Occupations,Sales Assistants,265764,Very High,175865.11,89898.89,0,30800,Medium,,,73,,High,
Country,UK Total,Sales Related Occupations,Sales And Customer Service Occupations,Sales Occs,75033,Medium,29304.36,12032.37,32216.59,32300,High,,,68,99,High,Very High
Country,UK Total,Sales Supervisors,Sales And Customer Service Occupations,Sales Supvrs,46658,Medium,10667.11,20139.52,14891.29,32600,High,,,85,99,High,Very High
Country,UK Total,Customer Service Occupations,Sales And Customer Service Occupations,Customer Service Occs,118652,High,73627.71,31458.51,11298.85,25100,Medium,,,70,,High,
Country,UK Total,Customer Service Managers and Supervisors,Sales And Customer Service Occupations,Customer Service Supvrs,12877,Low,2503.45,2680.91,7692.63,39200,High,,,53,,Medium,
Nation,ENGLAND,Teaching and Educational Professionals,Professional Occupations,Education Profnls,274395,Very High,4226.3,20336.76,133238.05,37000,High,1.0534603821541,Average,67,99,High,Very High
Nation,ENGLAND,Sales Assistants and Retail Cashiers,Sales And Customer Service Occupations,Sales Assistants,227296,Very High,150482.6,76813.4,0,43100,Very High,1.01753515286855,Average,74,,High,
Nation,ENGLAND,Caring Personal Services,"Caring, Leisure And Other Service Occupations",Personal Care,219350,Very High,45110.97,169829.8,4174.89,26300,Medium,0.991163974312459,Average,94,67,Very High,High
Nation,ENGLAND,"Sales, Marketing and Related Associate Professionals",Associate Professional And Technical Occupations,Sales  Assoc. Profnls,200172,Very High,38006.28,23112.62,131848.01,44300,Very High,1.07838408734058,Average,59,99,Medium,Very High
Nation,ENGLAND,Childcare and Related Personal Services,"Caring, Leisure And Other Service Occupations",Childcare,170764,Very High,69303.53,65945.99,27025.69,25200,Medium,1.06880866938621,Average,66,99,High,Very High
Nation,ENGLAND,Secretarial and Related Occupations,Administrative And Secretarial Occupations,Secretarial Occs,141046,High,101373.15,39672.85,0,45000,Very High,1.02651633653625,Average,67,,High,
Nation,ENGLAND,Nursing and Midwifery Professionals,Professional Occupations,Nursing Profnls,127620,High,59.25,62.38,103837.26,36100,High,0.99479927926899,Average,55,79,Medium,High
Nation,ENGLAND,Food Preparation and Hospitality Trades,Skilled Trades Occupations,Hospitality Trades,124471,High,50203.52,74124.68,0,28500,Medium,1.0174491966341,Average,73,,High,
Nation,ENGLAND,Administrative Occupations: Finance,Administrative And Secretarial Occupations,Administrative: Finance,118479,High,80280.2,22882.86,13617.34,37300,High,1.03156134310444,Average,49,99,Medium,Very High
Nation,ENGLAND,Public Services and Other Associate Professionals,Associate Professional And Technical Occupations,Public Services Assoc. Profnls,111731,High,24256.85,18801.88,63756.7,44400,Very High,1.0521383333189,Average,65,99,Medium,Very High
Nation,ENGLAND,Customer Service Occupations,Sales And Customer Service Occupations,Customer Service Occs,99749,High,61460.22,26570.71,9772.61,27200,Medium,1.00020096192936,Average,70,,High,
Nation,ENGLAND,"Business, Finance and Related Associate Professionals",Associate Professional And Technical Occupations,Business Assoc. Profnls,84468,High,15635.2,13705.1,46245.68,49800,Very High,1.0726941954903,Average,53,87,Medium,High
Nation,ENGLAND,"Business, Research and Administrative Professionals",Professional Occupations,Business Profnls,77847,High,0,1645.58,64176.84,52800,Very High,1.03225509357182,Average,28,99,Low,Very High
Nation,ENGLAND,Administrative Occupations: Records,Administrative And Secretarial Occupations,Administrative: Records,73079,Medium,51573.34,21505.66,0,37800,High,1.05864375877353,Average,59,,Medium,
Nation,ENGLAND,Information Technology Technicians,Associate Professional And Technical Occupations,IT Techs,66760,Medium,20842.28,13403.67,30670.27,38800,High,1.05649582969162,Average,56,99,Medium,Very High
Nation,ENGLAND,Construction and Building Trades,Skilled Trades Occupations,Construction Trades,66475,Medium,16087.18,50333.96,0,36500,High,1.02790812746673,Average,53,,Medium,
Nation,ENGLAND,Sales Related Occupations,Sales And Customer Service Occupations,Sales Occs,64127,Medium,25143.27,10345.63,27380.53,46400,Very High,1.01681604985963,Average,67,99,High,Very High
Nation,ENGLAND,"Artistic, Literary and Media Occupations",Associate Professional And Technical Occupations,Artistic/Media Occs,55099,Medium,10482,15033.43,21853.49,47100,Very High,1.11449945555651,Average,45,80,Medium,High
Nation,ENGLAND,Hairdressers and Related Services,"Caring, Leisure And Other Service Occupations",Hairdressers,45674,Medium,13555.03,30362.35,1618.6,32300,High,1.02907678507585,Average,51,99,Medium,Very High
Nation,ENGLAND,Welfare and Housing Associate Professionals,Associate Professional And Technical Occupations,Welfare Assoc. Profnls,42894,Medium,7818.71,14258.97,16967.37,28000,Medium,0.975269160419325,Average,64,88,Medium,High
Nation,ENGLAND,Vehicle Trades,Skilled Trades Occupations,Vehicle Trades,42639,Medium,9794.63,32659.03,0,34200,High,1.03692587244445,Average,63,,Medium,
Nation,ENGLAND,Welfare Professionals,Professional Occupations,Welfare Profnls,41343,Medium,1848.97,4226.56,32710.77,38400,High,1.03359211835706,Average,41,96,Medium,Very High
Nation,ENGLAND,Sales Supervisors,Sales And Customer Service Occupations,Sales Supvrs,40665,Medium,9296.98,17552.69,12978.58,41600,High,1.03692760964475,Average,85,99,High,Very High
Nation,ENGLAND,Administrative Occupations: Government and Related Organisations,Administrative And Secretarial Occupations,Administrative: Government,39098,Medium,20658.93,13890.87,2954.68,35100,High,0.866054224623711,Average,48,99,Medium,Very High
Nation,ENGLAND,Electrical and Electronic Trades,Skilled Trades Occupations,Electrical/Electronic Trades,37444,Medium,7683.86,25566.32,3859.42,42500,Very High,1.03899061775374,Average,63,99,Medium,Very High
Nation,ENGLAND,Protective Service Occupations,Associate Professional And Technical Occupations,Protective Service,36848,Medium,20048.15,12421.67,4000.17,65400,Very High,1.04355422217356,Average,46,,Medium,
Nation,ENGLAND,Legal Professionals,Professional Occupations,Legal Profnls,36803,Medium,1072.89,710.75,17242.27,69200,Very High,1.10585110144731,Average,44,99,Medium,Very High
Nation,ENGLAND,"Science, Engineering and Production Technicians",Associate Professional And Technical Occupations,Engineering Techs,36117,Medium,7979.45,15921.08,10875.1,39900,High,1.01588750046055,Average,50,84,Medium,High
Nation,ENGLAND,Agricultural and Related Trades,Skilled Trades Occupations,Agricultural Trades,33122,Medium,14543.55,15785.83,2729.78,48600,Very High,0.988801949773727,Average,66,99,High,Very High
Nation,ENGLAND,Health Associate Professionals,Associate Professional And Technical Occupations,Health Assoc. Profnls,32443,Medium,3649.64,14104.46,12699.45,36500,High,1.04493590649282,Average,96,86,Very High,High
Nation,ENGLAND,Sports and Fitness Occupations,Associate Professional And Technical Occupations,Sports Occs,31958,Medium,10139.14,17975.37,3466.82,40900,High,1.0129978491029,Average,52,57,Medium,Medium
Nation,ENGLAND,Leisure and Travel Services,"Caring, Leisure And Other Service Occupations",Leisure,30345,Medium,18437.08,11408.12,462.97,28500,Medium,1.01612167350909,Average,58,51,Medium,Medium
Nation,ENGLAND,"Metal Machining, Fitting and Instrument Making Trades",Skilled Trades Occupations,Metal Machining Trades,25393,Medium,7124.26,18264.41,0,34800,High,1.0017968393014,Average,70,,High,
Nation,ENGLAND,Administrative Occupations: Office Managers and Supervisors,Administrative And Secretarial Occupations,Administrative: Office Mngrs,25088,Medium,15176.5,9911.5,0,43200,Very High,1.06131116298971,Average,71,,High,
Nation,ENGLAND,"Architects, Town Planners and Surveyors",Professional Occupations,Architects/Surveyors,22444,Medium,1543.51,3829.99,14750.47,53500,Very High,1.05736240393895,Average,51,94,Medium,Very High
Nation,ENGLAND,Design Occupations,Associate Professional And Technical Occupations,Design Occs,16959,Low,2916.62,2792.53,10559.64,47300,Very High,1.09176345677073,Average,19,67,Low,High
Nation,ENGLAND,Media Professionals,Professional Occupations,Media Profnls,15870,Low,971.43,1181.7,12087.08,44100,Very High,1.07012290077745,Average,66,94,High,Very High
Nation,ENGLAND,Legal Associate Professionals,Associate Professional And Technical Occupations,Legal Assoc. Profnls,15287,Low,3256.79,966.32,8885.88,44900,Very High,1.07352303733684,Average,28,66,Low,High
Nation,ENGLAND,"Metal Forming, Welding and Related Trades",Skilled Trades Occupations,Metal Forming Trades,15154,Low,5993.13,9160.87,0,30600,Medium,1.02503787895018,Average,75,,High,
Nation,ENGLAND,Building Finishing Trades,Skilled Trades Occupations,Building Finishing Trades,15103,Low,3461.34,11641.66,0,30500,Medium,1.01038654256198,Average,51,,Medium,
Nation,ENGLAND,Other Skilled Trades,Skilled Trades Occupations,Skilled Trades (Other),12959,Low,6039.99,5608.47,871.37,42400,Very High,1.03559253266741,Average,50,99,Medium,Very High
Nation,ENGLAND,Customer Service Managers and Supervisors,Sales And Customer Service Occupations,Customer Service Supvrs,11594,Low,2254.02,2413.79,6926.18,46400,Very High,1.07120448121707,Average,54,,Medium,
Nation,ENGLAND,Quality and Regulatory Professionals,Professional Occupations,Regulatory Profnls,11390,Low,1241.48,2223.83,7238.59,54700,Very High,1.04095807227705,Average,62,99,Medium,Very High
Nation,ENGLAND,Animal Care and Control Services,"Caring, Leisure And Other Service Occupations",Animal Care,11017,Low,4730.02,4467.63,1426.77,29400,Medium,1.03199885127966,Average,39,66,Medium,High
Nation,ENGLAND,Printing Trades,Skilled Trades Occupations,Printing Trades,6770,Low,3381.19,3388.81,0,42400,Very High,1.11220265808478,Average,70,,High,
Nation,ENGLAND,Draughtspersons and Related Architectural Technicians,Associate Professional And Technical Occupations,Architectural Techs,6703,Low,603.93,2806.58,2707.07,49400,Very High,1.07506858380219,Average,49,56,Medium,Medium
Nation,ENGLAND,Textiles and Garments Trades,Skilled Trades Occupations,Textiles Trades,6652,Low,3159.97,2749.05,660.45,38200,High,1.10502398418211,Average,79,94,High,Very High
Nation,ENGLAND,Librarians and Related Professionals,Professional Occupations,Librarians,4202,Low,619.91,482.42,2038.64,36400,High,0.99846360066865,Average,61,,Medium,
Nation,ENGLAND,Construction and Building Trades Supervisors,Skilled Trades Occupations,Construction Trades Supvrs,3311,Low,1325.45,1650.26,309.11,36500,High,0.985057443557831,Average,49,99,Medium,Very High
Nation,ENGLAND,"Skilled Metal, Electrical and Electronic Trades Supervisors",Skilled Trades Occupations,Metal Trades Supvrs,2713,Low,843.54,1869.46,0,36600,High,0.992856777441638,Average,66,,High,
Nation,ENGLAND,Conservation and Environmental Associate Professionals,Associate Professional And Technical Occupations,Environmental Assoc. Profnls,781,Low,167.61,156.57,408.5,33000,High,0.700747069576854,Low,72,75,High,High
Nation,NORTHERN IRELAND,Administrative Occupations: Finance,Administrative And Secretarial Occupations,Administrative: Finance,3009,High,2068.21,694.45,223.72,25000,Medium,0.806028399047086,Low,49,,Medium,
Nation,NORTHERN IRELAND,Administrative Occupations: Government and Related Organisations,Administrative And Secretarial Occupations,Administrative: Government,3332,High,2014.57,1241.26,49.48,24200,Medium,2.27075360299151,Very High,75,,High,
Nation,NORTHERN IRELAND,Administrative Occupations: Office Managers and Supervisors,Administrative And Secretarial Occupations,Administrative: Office Mngrs,429,Low,254.21,174.79,0,30700,Medium,0.5583524940105,Very Low,57,,Medium,
Nation,NORTHERN IRELAND,Administrative Occupations: Records,Administrative And Secretarial Occupations,Administrative: Records,1333,Medium,962.91,370.09,0,23700,Low,0.594103173096411,Very Low,49,,Medium,
Nation,NORTHERN IRELAND,Agricultural and Related Trades,Skilled Trades Occupations,Agricultural Trades,1592,Medium,701.79,455.73,424.61,32600,High,1.46221185830828,High,71,,High,
Nation,NORTHERN IRELAND,Animal Care and Control Services,"Caring, Leisure And Other Service Occupations",Animal Care,65,Low,0,56.88,8.12,26900,Medium,0.187328432043663,Very Low,28,,Low,
Nation,NORTHERN IRELAND,"Architects, Town Planners and Surveyors",Professional Occupations,Architects/Surveyors,524,Low,30.84,90.9,338.41,38800,High,0.759502780770485,Low,47,84,Medium,High
Nation,NORTHERN IRELAND,"Artistic, Literary and Media Occupations",Associate Professional And Technical Occupations,Artistic/Media Occs,598,Medium,104.5,167.32,229.42,31400,Medium,0.372144671306149,Very Low,36,77,Medium,High
Nation,NORTHERN IRELAND,Building Finishing Trades,Skilled Trades Occupations,Building Finishing Trades,452,Low,103.32,348.68,0,23000,Low,0.93033046450978,Average,62,,Medium,
Nation,NORTHERN IRELAND,"Business, Finance and Related Associate Professionals",Associate Professional And Technical Occupations,Business Assoc. Profnls,1372,Medium,263.6,249.89,716.56,34100,High,0.536058649223111,Very Low,41,79,Medium,High
Nation,NORTHERN IRELAND,"Business, Research and Administrative Professionals",Professional Occupations,Business Profnls,2469,High,0,26.42,2051.16,37700,High,1.00725798904494,Average,,99,,Very High
Nation,NORTHERN IRELAND,Caring Personal Services,"Caring, Leisure And Other Service Occupations",Personal Care,6758,Very High,1479.5,5101.13,172.37,25000,Medium,0.939508111558277,Average,87,81,High,High
Nation,NORTHERN IRELAND,Childcare and Related Personal Services,"Caring, Leisure And Other Service Occupations",Childcare,3421,High,1347.09,1321.62,579.93,20600,Low,0.658766035376492,Very Low,55,,Medium,
Nation,NORTHERN IRELAND,Conservation and Environmental Associate Professionals,Associate Professional And Technical Occupations,Environmental Assoc. Profnls,63,Low,13.52,12.63,32.95,24500,Medium,1.73910291413567,Very High,,,,
Nation,NORTHERN IRELAND,Construction and Building Trades,Skilled Trades Occupations,Construction Trades,1967,Medium,463.1,1502.82,0,25700,Medium,0.935782223355031,Average,56,,Medium,
Nation,NORTHERN IRELAND,Construction and Building Trades Supervisors,Skilled Trades Occupations,Construction Trades Supvrs,167,Low,66.85,83.24,15.59,27000,Medium,1.52859813172353,Very High,61,,Medium,
Nation,NORTHERN IRELAND,Customer Service Managers and Supervisors,Sales And Customer Service Occupations,Customer Service Supvrs,130,Low,25.27,27.07,77.66,31800,High,0.369536136582521,Very Low,,,,
Nation,NORTHERN IRELAND,Customer Service Occupations,Sales And Customer Service Occupations,Customer Service Occs,2639,High,1732.7,678.87,194.57,24500,Medium,0.814127799486687,Low,61,,Medium,
Nation,NORTHERN IRELAND,Design Occupations,Associate Professional And Technical Occupations,Design Occs,213,Low,36.64,35.73,132.24,29700,Medium,0.421873643598488,Very Low,,79,,High
Nation,NORTHERN IRELAND,Draughtspersons and Related Architectural Technicians,Associate Professional And Technical Occupations,Architectural Techs,93,Low,10.16,48.22,33.04,31700,High,0.45890667737717,Very Low,,,,
Nation,NORTHERN IRELAND,Electrical and Electronic Trades,Skilled Trades Occupations,Electrical/Electronic Trades,1048,Medium,206.55,761.91,74.99,29300,Medium,0.894674684589772,Average,45,,Medium,
Nation,NORTHERN IRELAND,Food Preparation and Hospitality Trades,Skilled Trades Occupations,Hospitality Trades,3092,High,1225.32,1863.62,0,20600,Low,0.777604055137154,Low,52,,Medium,
Nation,NORTHERN IRELAND,Hairdressers and Related Services,"Caring, Leisure And Other Service Occupations",Hairdressers,1349,Medium,416.28,897.34,31.55,27100,Medium,0.93511529425578,Average,32,,Low,
Nation,NORTHERN IRELAND,Health Associate Professionals,Associate Professional And Technical Occupations,Health Assoc. Profnls,616,Medium,80.8,225.59,270.45,27800,Medium,0.610413085972558,Very Low,77,99,High,Very High
Nation,NORTHERN IRELAND,Information Technology Technicians,Associate Professional And Technical Occupations,IT Techs,1457,Medium,460.54,296.27,660.94,27900,Medium,0.709390695401441,Low,32,99,Low,Very High
Nation,NORTHERN IRELAND,Legal Associate Professionals,Associate Professional And Technical Occupations,Legal Assoc. Profnls,220,Low,46.87,13.91,127.88,25600,Medium,0.47532018868451,Very Low,,62,,Medium
Nation,NORTHERN IRELAND,Legal Professionals,Professional Occupations,Legal Profnls,629,Medium,0,8.99,322.33,40500,High,0.581485052805093,Very Low,,99,,Very High
Nation,NORTHERN IRELAND,Leisure and Travel Services,"Caring, Leisure And Other Service Occupations",Leisure,794,Medium,533.61,260.39,0,23000,Low,0.818000468430548,Low,52,,Medium,
Nation,NORTHERN IRELAND,Librarians and Related Professionals,Professional Occupations,Librarians,258,Low,28.28,23.31,127.21,25600,Medium,1.88612456766598,Very High,,,,
Nation,NORTHERN IRELAND,Media Professionals,Professional Occupations,Media Profnls,260,Low,14.46,17.24,205.69,31200,Medium,0.539392068779542,Very Low,,90,,Very High
Nation,NORTHERN IRELAND,"Metal Forming, Welding and Related Trades",Skilled Trades Occupations,Metal Forming Trades,736,Medium,299.08,436.92,0,22400,Low,1.53166900092672,Very High,72,,High,
Nation,NORTHERN IRELAND,"Metal Machining, Fitting and Instrument Making Trades",Skilled Trades Occupations,Metal Machining Trades,807,Medium,212.85,593.78,0,25100,Medium,0.979520785436704,Average,61,,Medium,
Nation,NORTHERN IRELAND,Nursing and Midwifery Professionals,Professional Occupations,Nursing Profnls,5335,Very High,1,1.05,4341.23,32700,High,1.27945678697891,High,,83,,High
Nation,NORTHERN IRELAND,Other Skilled Trades,Skilled Trades Occupations,Skilled Trades (Other),389,Low,180.44,188.52,12.33,24800,Medium,0.95640425286795,Average,62,,Medium,
Nation,NORTHERN IRELAND,Printing Trades,Skilled Trades Occupations,Printing Trades,147,Low,73.38,73.62,0,28100,Medium,0.742997019654206,Low,75,,High,
Nation,NORTHERN IRELAND,Protective Service Occupations,Associate Professional And Technical Occupations,Protective Service,52,Low,33,19,0,31500,High,0.0453084201930314,Very Low,,,,
Nation,NORTHERN IRELAND,Public Services and Other Associate Professionals,Associate Professional And Technical Occupations,Public Services Assoc. Profnls,2817,High,593.04,599.65,1480.76,29100,Medium,0.816132141813552,Low,68,99,High,Very High
Nation,NORTHERN IRELAND,Quality and Regulatory Professionals,Professional Occupations,Regulatory Profnls,288,Low,31.51,61.88,180.6,36000,High,0.80979758633765,Low,55,,Medium,
Nation,NORTHERN IRELAND,Sales Assistants and Retail Cashiers,Sales And Customer Service Occupations,Sales Assistants,6374,Very High,4048.54,2325.46,0,26700,Medium,0.877898212739003,Average,65,,Medium,
Nation,NORTHERN IRELAND,Sales Related Occupations,Sales And Customer Service Occupations,Sales Occs,1756,Medium,622.39,242.43,852.05,29500,Medium,0.856644159117435,Average,72,,High,
Nation,NORTHERN IRELAND,Sales Supervisors,Sales And Customer Service Occupations,Sales Supvrs,1152,Medium,263.37,497.25,367.67,26500,Medium,0.903763125632777,Average,79,,High,
Nation,NORTHERN IRELAND,"Sales, Marketing and Related Associate Professionals",Associate Professional And Technical Occupations,Sales  Assoc. Profnls,3117,High,587.17,332.05,2092.27,32100,High,0.516632141438447,Very Low,43,86,Medium,High
Nation,NORTHERN IRELAND,"Science, Engineering and Production Technicians",Associate Professional And Technical Occupations,Engineering Techs,1305,Medium,303.13,531.61,418.86,26700,Medium,1.12932498429803,Average,59,99,Medium,Very High
Nation,NORTHERN IRELAND,Secretarial and Related Occupations,Administrative And Secretarial Occupations,Secretarial Occs,3820,Very High,2750.51,1069.49,0,28400,Medium,0.855348170800783,Average,66,,High,
Nation,NORTHERN IRELAND,Sports and Fitness Occupations,Associate Professional And Technical Occupations,Sports Occs,983,Medium,343.3,529.95,98.99,30200,Medium,0.95864304459341,Average,56,68,Medium,High
Nation,NORTHERN IRELAND,Teaching and Educational Professionals,Professional Occupations,Education Profnls,5862,Very High,60.14,361.1,2874.43,35100,High,0.692408363829601,Low,61,99,Medium,Very High
Nation,NORTHERN IRELAND,Textiles and Garments Trades,Skilled Trades Occupations,Textiles Trades,128,Low,55.38,45,24.55,23400,Low,0.65419001389702,Very Low,,,,
Nation,NORTHERN IRELAND,Vehicle Trades,Skilled Trades Occupations,Vehicle Trades,811,Medium,223.61,584.93,0,25800,Medium,0.606786669437688,Very Low,49,,Medium,
Nation,NORTHERN IRELAND,Welfare Professionals,Professional Occupations,Welfare Profnls,713,Medium,27.8,49.56,582.09,24700,Medium,0.548417378343935,Very Low,,77,,High
Nation,NORTHERN IRELAND,Welfare and Housing Associate Professionals,Associate Professional And Technical Occupations,Welfare Assoc. Profnls,1125,Medium,171.02,353.72,464.03,23000,Low,0.786964140386381,Low,57,78,Medium,High
